Set No.;Q1;Q1.A;Q1.B;Q1.C;Q1.D;Q1.E;Q1.AA;Q2;Q2.A;Q2.B;Q2.C;Q2.D;Q2.E;Q2.F;Q2.AA;Q3;Q3.A;Q3.B;Q3.C;Q3.D;Q3.E;Q3.F;Q3.AA
1;What was the increase in total intra-EU traffic between 2015 and 2016 (rounded to the nearest million)? ;11 million ;39 million ;13 million ;73 million ;4 million ;B;What was the percentage increase in traffic for the three top destinations from the United Kingdom between 2015 and 2016 (rounded to one decimal place)? ;0.9% ;8.9% ;11.2% ;12.4% ;0.4% ;;D;In 2015 the average cost of a Spain-Germany flight was €147.60, and it increased by 2.1% in 2016. What was the increase in the total amount spent by Spain-Germany passengers between 2015 and 2016 (rounded to the nearest thousand euros)?;€457 thousand ;€364 thousand ;€457115 thousand ;€2108 thousand ;€364091 thousand ;;C
2;What was the difference between the numbers of outbound trips made by EU residents in 2016 to the U.S. and to Switzerland (to the nearest million)? ;60 million ;39 million ;15 million ;15431 million ;18934 million ;C;"The number of outbound trips made by
EU residents to Turkey decreased by 0.6% between 2016 and 2017, and the total number of outbound trips increased by 1.8% during the same period. What was the share of outbound trips made by EU residents to Turkey in 2017 (rounded to one decimal place)?";9.2% ;9.4% ;10.2% ;9.8%;10.8% ;;D;The share in the expenditure of outbound trips made by EU residents to Norway in 2016 was 1.4 times larger than the share of Norway in the number of outbound trips, and the share in the expenditure of outbound trips made by EU residents to Russia in 2016 was by 25% less than the share of Russia in the number of outbound trips. What was the ratio between the expenditures of outbound trips made by EU residents to Norway and to Russia in 2016? ;04:05;07:05;05:04;03:07;07:03;;E
3;"The average health care expenditure of
the top-5 EU members increased by 4.5% between 2015 and 2017. What was the average expenditure of the top-5 EU members in 2017 (rounded to the nearest billion euros)?";226 billion ;39 billion ;216 billion ;236708 billion ;225932 billion ;A;What was the difference between the GDP of the United Kingdom and France in 2015 (rounded to the nearest billion euros)?;€13461 billion ;€380 billion ;€415561 billion ;€379774 billion ;€13 billion ;;B;The population of Spain increased by 3.1% in 2016, and by 3.4% in 2017. What was the population of Spain by the end of 2017 (rounded to the nearest million)? ;49 million ;49505 million ;50 million ;49501 million ;46 million ;;C
4;"If the generation of waste in the agriculture, forestry and fishing sector in Chile had been 500,000 tonnes less in both 2005 and 2007,
what percentage would this decrease have represented in the total waste generated in this sector in Chile in the period from 2004 to 2007?";11.4% ;17.4% ;18.9% ;21.1% ;174%;B;In which country did the generation of waste in this sector decrease at the greatest rate between 2006 and 2008, Austria, Belgium or Italy?;Austria ;Belgium ;Italy ;Belgium and Italy (the difference between them is negligible ) ;;;C;In which year did Japan’s waste generation in this sector deviate the most from the average amount of waste it generated in the 2004−2010 period? ;2004;2006;2008;2009;2010;;E
5;What was the average percentage change between 2011 and 2016 of people aged 25–64 reporting they knew three or more foreign languages across the four countries shown (rounded to three decimal places)? ;–0.48% ;–0.425% ;0.425% ;0.48% ;0.34% ;B;What was the ratio of the share of Slovenian people aged 25-64 and having tertiary education reporting that they knew one or more foreign languages, to the share of all Slovenian people of this age reporting that they knew one or more foreign languages in 2016? ;15:13;10:09;04:19;19:04;19:16;;E;The population of Poland aged 25-64 changed from 31.2 million to 30.7 million between 2011 and 2016. What was the difference between the number of Polish people aged 25–64 reporting they knew just one foreign language in 2016 and in 2011 (rounded to one thousand)? ;2 thousand ;174 thousand ;–1741 thousand ;1741 thousand ;–174 thousand ;;D
6;Canard passed the halfway marker at 1:07:50. What was his average speed for the second half of the race? ;15.20 km/h ;17.38 km/h ;18.63 km/h ;19.27 km/h;20.31 km/h ;D;Dennis and Ekimov passed the “1km to go” marker at exactly the same time, 2:11:00. How much faster than Ekimov did Dennis run in the last kilometre? ;1%;4.2% ;6.6% ;8%;12.5%;;B;Benoit ran the last 150m at a speed 5% faster than his overall average for the race. How far was Benoit from the finishing line when Anderson finished? ;84m ;92m ;100m ;133m ;149m ;;D
7;If 60 male students in a high school use any kind of tobacco product, how many female students does the school have? ;Fewer than 250 ;Around 260 ;Around 280 ;Around 290 ;More than 320 ;B;In a high school with 300 male students, of whom 20 use both electronic and regular cigarettes, how many male students use only one of them? ;15;63;20;23;43;;D;" If there are 100 students using any kind
of tobacco product in a school where the number of male students is twice the number of female students, how many of the school’s female students are using electronic cigarettes?";7;34;12;17;39;;D
8;The carcass weight to retail weight conversion rate for beef and veal is 0.7. Assuming that Argentina had a population of 44.27 million people in 2017, what was the weight of bovine carcasses necessary to meet the beef and veal consumption? ;2.6 million kg ;2.6 million tonnes ;1.8 million kg ;1.8 million tonnes ;None of the above ;B;Assuming that Brazil has a population of 209.3 million people, what would be the overall rate of decrease of meat consumption in that country if both beef and veal, and poultry consumption decreased by 20%?;15.3% ;16.9% ;18.7% ;20.3% ;22.2% ;;B;Australia’s population is 24.6 million. Assuming that the weight of carcasses required to meet the country’s pork consumption is 652.85 million kg, what is the carcass weight to retail weight ratio for pork? ;1 to 0.62 ;1 to 0.72 ;1 to 0.78 ;1 to 0.88 ;None of the above;;C
9;You buy 2000 shares on Tuesday at 1.4% below the previous day’s closing price. There is a €15.95 dealing charge. How much does it cost you? ;€4673.64 ;€4689.59 ;€4734.37 ;€4761.47 ;€4768.47 ;B;You sell 2000 shares on Friday which incurs a €15.95 dealing charge. Your total proceeds amount to €4664.05. By what percentage had the price risen since yesterday’s close? ;2%;3%;4%;5%;6%;;C;"The difference between the buying price and the selling price on a given day is known
as ‘the spread’. If the percentage spread is calculated as a percentage of the higher value, which day has the largest percentage spread?";Monday;Tuesday;Wednesday ;Thursday;Friday ;;E
10;"Which of the accounting software shown
in the table is projected to cost the least to acquire and operate over a two-year period?";Accounts Pro 10 ;BSheet 12 ;BSheet Lite ;BookKeeper Standard ;BSheet 12 and BookKeeper Standard ;E;"If the company manages to negotiate a
15% discount on the licence fees and the installation is done free of charge, how much would it cost to introduce and operate the BSheet 12 software for 5 years?";16 475 € ;19 100 €;110 875 € ;113 500 € ;111 025 € ;;C;How much money will the company save or lose over 3 years if it introduces BookKeeper Standard instead of Accounts Pro 10? ;2 605 € in savings ;6 840 € in savings ;7 680 € in savings ;10 320 € in losses ;13 820 € in losses ;;C
